id,name,section,enrollmentCode
867772300924,07. 7-Г клас. Всесвітня історія (2026-2027),,3jg73bbu
867772195129,07. 7-В клас. Основи християнської етики (2026-2027),,j6ndpog6
867772335332,07. 7-Г клас. Українська література (2026-2027),,spxw56e6
867771961556,07. 7-Г клас. Зарубіжна література (2026-2027),,yy5e7ual
867772659527,07. 7-В клас. Фізична культура (2026-2027),,rrrx5hib
867772478043,07. 7-Г клас. Українська мова (2026-2027),,rldmscwu
867772271550,07. 7-В клас. Здоров'я безпека та добробут (2026-2027),,momuptwm
867772249767,07. 7-В клас. Технології (2026-2027),,lfv7ymxl
867770214307,07. 7-В клас. Мистецтво (2026-2027),,ykdp2ldi
867772520131,07. 7-В клас. Інформатика (2026-2027),,vn5idd5l
867762293242,07. 7-В клас. Хімія (2026-2027),,6z27jzrg
867772040803,07. 7-В клас. Фізика (2026-2027),,75eaqtqv
867772443970,07. 7-В клас. Географія (2026-2027),,4ykioh4q
867772282498,07. 7-В клас. Алгебра (2026-2027),,o4l2b5f7
867772474258,07. 7-В клас. Геометрія (2026-2027),,ioreuhit
867770532281,07. 7-В клас. Біологія (2026-2027),,uzd7zjuv
867772184112,07. 7-В клас. Всесвітня історія (2026-2027),,fi2thzyz
867771747125,07. 7-В клас. Історія України (2026-2027),,uaxyeqrm
867771265637,07. 7-В клас. Друга іноземна мова (Німецька) (2026-2027),,mnnqgdhc
867772642609,07. 7-В клас. Зарубіжна література (2026-2027),,tgcelbqp
867772270691,07. 7-В клас. Англійська мова (2026-2027),,xxpvn5in
867771834445,07. 7-В клас. Українська література (2026-2027),,r2gribyq
867771800839,07. 7-Б клас. Фізична культура (2026-2027),,fbtvlk3p
867771654436,07. 7-Б клас. Основи християнської етики (2026-2027),,ziwxca3v
867769655812,07. 7-В клас. Українська мова (2026-2027),,v35vdicc
867771470566,07. 7-Б клас. Здоров'я безпека та добробут (2026-2027),,5hb6jty4
